country,name,lang,domain,pole,tier,feed,owner
Israel,Calcalist,he,calcalist.co.il,business,2,"https://www.calcalist.co.il/GeneralRSS/0,16335,L-8,00.xml|https://www.calcalist.co.il/integration/StoryRss2.xml",Yedioth Ahronoth
Israel,Haaretz,en,haaretz.com,left,1,https://www.haaretz.com/srv/htz---all-articles|https://www.haaretz.com/cmlink/1.4605102,
Israel,Israel Hayom,en,israelhayom.com,right,1,https://www.israelhayom.com/feed/|https://www.israelhayom.co.il/rss.xml,родина Адельсонів
Israel,Kan 11,he,kan.org.il,public,2,https://www.kan.org.il/rss/news.xml|https://www.kan.org.il/rss/,
Israel,The Jerusalem Post,en,jpost.com,center-right,1,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,
Israel,The Times of Israel,en,timesofisrael.com,center,1,https://www.timesofisrael.com/feed/,
Israel,Ynet,he,ynet.co.il,center,1,https://www.ynet.co.il/Integration/StoryRss2.xml,Yedioth Ahronoth
Italy,ANSA,it,ansa.it,reference,2,,
Italy,Corriere della Sera,it,corriere.it,center,1,https://www.corriere.it/rss/homepage.xml|https://xml2.corriereobjects.it/rss/esteri.xml,Cairo Communication
Italy,Il Foglio,it,ilfoglio.it,right-analysis,2,https://www.ilfoglio.it/rss/home.xml|https://www.ilfoglio.it/feed,
Italy,Il Sole 24 Ore,it,ilsole24ore.com,business,1,https://www.ilsole24ore.com/rss/mondo.xml,
Italy,La Repubblica,it,repubblica.it,center-left,1,https://www.repubblica.it/rss/homepage/rss2.0.xml|https://www.repubblica.it/rss/esteri/rss2.0.xml,
Italy,La Stampa,it,lastampa.it,center-left,2,,Exor / Agnelli
Japan,Asahi Shimbun,ja,asahi.com,liberal,1,https://www.asahi.com/rss/asahi/newsheadlines.rdf,
Japan,Kyodo News,ja,kyodonews.jp,reference,2,https://english.kyodonews.net/rss/all.xml|https://english.kyodonews.net/rss/world.xml,
Japan,Mainichi Shimbun,ja,mainichi.jp,center-left,2,https://mainichi.jp/rss/etc/mainichi-flash.rss,
Japan,NHK,ja,nhk.or.jp,public,1,https://www.nhk.or.jp/rss/news/cat0.xml|https://www3.nhk.or.jp/rss/news/cat6.xml|https://www3.nhk.or.jp/rss/news/cat0.xml,
Japan,Nikkei,ja,nikkei.com,business,1,https://www.nikkei.com/rss/index.rdf|https://assets.wor.jp/rss/rdf/nikkei/news.rdf,
Japan,Sankei Shimbun,ja,sankei.com,right,2,https://www.sankei.com/rss/news/points.xml|https://assets.wor.jp/rss/rdf/sankei/news.rdf,
Japan,The Japan Times,en,japantimes.co.jp,reference,2,,
Japan,Yomiuri Shimbun,ja,yomiuri.co.jp,conservative,1,https://www.yomiuri.co.jp/rss/yol/topstories|https://assets.wor.jp/rss/rdf/yomiuri/national.rdf,
Kazakhstan,Kazinform,kk,inform.kz,state,2,https://www.inform.kz/rss|https://www.inform.kz/rss/all|https://kz.kursiv.media/feed/,
Kazakhstan,Kursiv,ru,kz.kursiv.media,business,2,,
Kazakhstan,Orda.kz,ru,orda.kz,independent,2,https://orda.kz/feed/,
Kazakhstan,Radio Azattyq,kk,azattyq.org,exile-funded,2,,
Kazakhstan,Tengrinews,ru,tengrinews.kz,mainstream,2,https://tengrinews.kz/userdata/rss/rss.xml|https://tengrinews.kz/rss/,
Kazakhstan,Vlast.kz,ru,vlast.kz,independent,2,,
Kenya,Daily Nation,en,nation.africa,reference,2,https://nation.africa/kenya/rss|https://nation.africa/kenya/news/rss,
Latvia,Delfi Latvia,lv,delfi.lv,reference,2,,
Latvia,LSM,lv,lsm.lv,public,2,,
Lithuania,15min,lt,15min.lt,reference,2,,
Lithuania,LRT,lt,lrt.lt,public,2,,
Mexico,Animal Politico,es,animalpolitico.com,investigative,2,https://animalpolitico.com/feed/|https://www.animalpolitico.com/feed,
Mexico,Aristegui Noticias,es,aristeguinoticias.com,critical,2,https://aristeguinoticias.com/feed/,
Mexico,El Financiero,es,elfinanciero.com.mx,business,2,,
Mexico,El Universal,es,eluniversal.com.mx,center,2,,
Mexico,La Jornada,es,jornada.com.mx,left-pro-government,2,https://www.jornada.com.mx/rss/edicion.xml,
Mexico,Milenio,es,milenio.com,center,2,https://www.milenio.com/rss|https://www.milenio.com/rss/internacional,
Mexico,Reforma,es,reforma.com,center-right,2,,
Moldova,Newsmaker,ru,newsmaker.md,reference,2,,
Moldova,Ziarul de Garda,ro,zdg.md,investigative,2,,
Netherlands,De Telegraaf,nl,telegraaf.nl,right,2,https://www.telegraaf.nl/rss,
Netherlands,NOS,nl,nos.nl,public,2,,
Netherlands,NRC,nl,nrc.nl,center-right,2,,
Netherlands,de Volkskrant,nl,volkskrant.nl,center-left,2,,
Nigeria,Premium Times,en,premiumtimesng.com,investigative,2,https://www.premiumtimesng.com/feed|https://www.premiumtimesng.com/news/feed,
Norway,Aftenposten,no,aftenposten.no,center-right,2,,
Norway,Dagens Naeringsliv,no,dn.no,business,2,https://www.dn.no/rss,
Norway,NRK,no,nrk.no,public,2,,
Poland,Do Rzeczy,pl,dorzeczy.pl,right,2,,
Poland,Fakt,pl,fakt.pl,tabloid,2,https://www.fakt.pl/rss|https://www.fakt.pl/rss.xml|https://fakt.pl/feed,Ringier Axel Springer
Poland,Gazeta Wyborcza,pl,wyborcza.pl,center-left,1,,
Poland,Notes from Poland,en,notesfrompoland.com,reference,2,,
Poland,Onet,pl,onet.pl,reference,1,https://wiadomosci.onet.pl/.feed,
Poland,PAP,pl,pap.pl,state-agency,2,https://www.pap.pl/rss.xml|https://www.pap.pl/rss/wszystkie,
Poland,Polityka,pl,polityka.pl,left-analysis,2,,
Poland,Rzeczpospolita,pl,rp.pl,center-right-business,1,,
Poland,TVN24,pl,tvn24.pl,center-left,1,https://tvn24.pl/najnowsze.xml,
Portugal,Expresso,pt,expresso.pt,center-right,2,https://expresso.pt/rss|https://feeds.feedburner.com/expresso-geral,
Portugal,Observador,pt,observador.pt,right,2,,
Portugal,Publico,pt,publico.pt,center-left,2,https://feeds.feedburner.com/PublicoRSS,
Romania,Digi24,ro,digi24.ro,center,2,,
Romania,G4Media,ro,g4media.ro,investigative,2,,
Romania,HotNews,ro,hotnews.ro,reference,2,,
Russia,Faridaily,ru,faridaily.substack.com,exile-analysis,2,https://faridaily.substack.com/feed,
Russia,Kommersant,ru,kommersant.ru,business,1,https://www.kommersant.ru/RSS/news.xml|https://www.kommersant.ru/RSS/main.xml,
Russia,Meduza,ru,meduza.io,exile,1,,
Russia,Novaya Gazeta Europe,ru,novayagazeta.eu,exile,1,,
Russia,RBC,ru,rbc.ru,business,1,https://rssexport.rbc.ru/rbcnews/news/30/full.rss,
Russia,RIA Novosti,ru,ria.ru,state,1,,Держава РФ
Russia,TASS,ru,tass.ru,state,1,https://tass.ru/rss/v2.xml,Держава РФ
Russia,The Bell,ru,thebell.io,exile-business,1,https://thebell.io/feed,
Russia,The Moscow Times,en,themoscowtimes.com,exile,2,,
Russia,Vedomosti,ru,vedomosti.ru,business,2,,
Russia,Verstka,ru,verstka.media,exile-investigative,2,https://verstka.media/rss|https://verstka.media/feed,
Serbia,Danas,sr,danas.rs,independent-left,2,,
Serbia,N1 Serbia,sr,n1info.rs,independent,2,,
Serbia,Nova.rs,sr,nova.rs,independent,2,,
Serbia,Politika,sr,politika.rs,pro-government,2,https://www.politika.rs/rss/lat/sve,
Slovakia,Aktuality,sk,aktuality.sk,reference,2,,
Slovakia,Dennik N,sk,dennikn.sk,center-right,2,https://dennikn.sk/feed/,
Slovakia,SME,sk,sme.sk,center,2,https://www.sme.sk/rss-title,
Slovenia,Delo,sl,delo.si,center,2,,
Slovenia,RTVSLO,sl,rtvslo.si,public,2,https://img.rtvslo.si/feeds/00.xml,
South Africa,Daily Maverick,en,dailymaverick.co.za,investigative,2,https://www.dailymaverick.co.za/dmrss/|https://www.dailymaverick.co.za/feed/,
South Africa,Mail & Guardian,en,mg.co.za,center-left,2,https://mg.co.za/feed/,
South Africa,News24,en,news24.com,mainstream,2,https://feeds.capi24.com/v1/Search/articles/news24/TopStories/rss|https://www.news24.com/rss,
South Korea,Chosun Ilbo,ko,chosun.com,conservative,1,https://www.chosun.com/arc/outboundfeeds/rss/?outputType=xml,
South Korea,Hankyoreh,ko,hani.co.kr,progressive,1,,
South Korea,JoongAng Ilbo,ko,joongang.co.kr,conservative,1,https://koreajoongangdaily.joins.com/rss|https://koreajoongangdaily.joins.com/xmls/joins,
South Korea,KBS,ko,kbs.co.kr,public,2,http://world.kbs.co.kr/rss/rss_news.htm?lang=e,
South Korea,Kyunghyang Shinmun,ko,khan.co.kr,progressive,2,https://www.khan.co.kr/rss/rssdata/total_news.xml,
South Korea,The Korea Herald,en,koreaherald.com,reference,2,,
South Korea,Yonhap,ko,yna.co.kr,reference,1,https://en.yna.co.kr/RSS/news.xml,
Spain,ABC,es,abc.es,right,2,,
Spain,El Mundo,es,elmundo.es,center-right,1,,
Spain,El Pais,es,elpais.com,center-left,1,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada,
Spain,Expansion,es,expansion.com,business,2,,
Spain,La Vanguardia,es,lavanguardia.com,center,2,,
Spain,elDiario.es,es,eldiario.es,left,2,,
Sweden,Dagens Nyheter,sv,dn.se,center-left,2,,
Sweden,SVT Nyheter,sv,svt.se,public,2,,
Sweden,Svenska Dagbladet,sv,svd.se,center-right,2,https://www.svd.se/feed/articles.rss,
Switzerland,Blick,de,blick.ch,tabloid,2,https://www.blick.ch/rss.xml|https://www.blick.ch/news/rss.xml,Ringier
Switzerland,Le Temps,fr,letemps.ch,center-left,2,,
Switzerland,Neue Zuercher Zeitung,de,nzz.ch,center-right,2,,
Switzerland,SRF,de,srf.ch,public,2,https://www.srf.ch/news/bnf/rss/1646,
Taiwan,China Times,zh,chinatimes.com,blue-KMT,1,https://www.chinatimes.com/rss/politic.xml|https://www.chinatimes.com/rss/realtimenews.xml,
Taiwan,Focus Taiwan CNA,en,focustaiwan.tw,reference,1,,
Taiwan,Liberty Times,zh,ltn.com.tw,green-DPP,1,,
Taiwan,Taipei Times,en,taipeitimes.com,green-DPP,2,,
Taiwan,The Reporter,zh,twreporter.org,investigative,2,,
Taiwan,United Daily News,zh,udn.com,blue-KMT,1,,
Turkey,Cumhuriyet,tr,cumhuriyet.com.tr,secular-opposition,2,,
Turkey,Daily Sabah,en,dailysabah.com,pro-government,2,,
Turkey,Gazete Duvar,tr,gazeteduvar.com.tr,opposition,2,https://www.gazeteduvar.com.tr/rss|https://www.gazeteduvar.com.tr/export/rss,
Turkey,Hurriyet,tr,hurriyet.com.tr,center-right,2,https://www.hurriyet.com.tr/rss/gundem,
Turkey,T24,tr,t24.com.tr,independent,2,https://t24.com.tr/rss|https://t24.com.tr/rss/haber/gundem,
UAE,Al Arabiya,ar,alarabiya.net,saudi-aligned,2,https://english.alarabiya.net/feed/rss2/en.xml|https://english.alarabiya.net/tools/rss,MBC / Саудівська Аравія
UAE,Gulf News,en,gulfnews.com,center-state,2,,
UAE,Khaleej Times,en,khaleejtimes.com,center-state,2,,
UAE,Middle East Eye,en,middleeasteye.net,qatar-aligned,2,,
UAE,The National,en,thenationalnews.com,center-state,2,https://www.thenationalnews.com/arc/outboundfeeds/rss/?outputType=xml|https://www.thenationalnews.com/arc/outboundfeeds/rss/,
UAE,WAM,en,wam.ae,state-agency,2,https://www.wam.ae/en/feed|https://wam.ae/en/rss,Держава ОАЕ
UK,BBC News,en,bbc.com,public,1,https://feeds.bbci.co.uk/news/world/rss.xml,
UK,Daily Mail,en,dailymail.co.uk,tabloid,2,https://www.dailymail.co.uk/articles.rss|https://www.dailymail.co.uk/news/index.rss,DMGT
UK,New Statesman,en,newstatesman.com,left-analysis,2,https://www.newstatesman.com/feed,
UK,Sky News,en,news.sky.com,reference,2,https://feeds.skynews.com/feeds/rss/world.xml,
UK,The Guardian,en,theguardian.com,center-left,1,,Scott Trust
UK,The Spectator,en,spectator.co.uk,right-analysis,2,https://www.spectator.co.uk/feed/|https://www.spectator.co.uk/rss,
UK,The Sun,en,thesun.co.uk,tabloid,2,https://www.thesun.co.uk/news/feed/|https://www.thesun.co.uk/news/world-news/feed/,News Corp
UK,The Telegraph,en,telegraph.co.uk,center-right,1,,
USA,Axios,en,axios.com,reference,1,https://api.axios.com/feed/,
USA,Fox News,en,foxnews.com,right,1,,
USA,NPR,en,npr.org,public,2,https://feeds.npr.org/1001/rss.xml,
USA,National Review,en,nationalreview.com,right-analysis,2,https://www.nationalreview.com/feed/,
USA,New York Post,en,nypost.com,tabloid,2,https://nypost.com/feed/|https://nypost.com/news/feed/,News Corp
USA,Politico,en,politico.com,reference,1,https://rss.politico.com/politics-news.xml,Axel Springer
USA,The Atlantic,en,theatlantic.com,center-left-analysis,2,,
USA,The Free Press,en,thefp.com,heterodox,2,https://www.thefp.com/feed,
USA,The New York Times,en,nytimes.com,center-left,1,,
USA,The Wall Street Journal,en,wsj.com,center-right-business,1,https://feeds.content.dowjones.io/public/rss/RSSWorldNews|https://feeds.a.dj.com/rss/RSSWorldNews.xml,News Corp
USA,The Washington Post,en,washingtonpost.com,center-left,1,https://feeds.washingtonpost.com/rss/world,
Ukraine,Babel,uk,babel.ua,investigative,1,,
Ukraine,Dzerkalo Tyzhnia,uk,zn.ua,analysis,1,,
Ukraine,Ekonomichna Pravda,uk,epravda.com.ua,business,1,https://www.epravda.com.ua/rss/|https://www.epravda.com.ua/rss/view_news/,
Ukraine,Forbes Ukraine,uk,forbes.ua,business,2,https://forbes.ua/feed|https://forbes.ua/rss/all,
Ukraine,Hromadske,uk,hromadske.ua,center-left,2,https://hromadske.ua/feed/|https://hromadske.ua/rss,
Ukraine,Kyiv Independent,en,kyivindependent.com,reference,1,,
Ukraine,Liga.net,uk,liga.net,business,1,https://www.liga.net/news/rss.xml|https://www.liga.net/allnews/rss.xml,
Ukraine,NV,uk,nv.ua,center-right,1,https://nv.ua/ukr/rss/all.xml,
Ukraine,Suspilne,uk,suspilne.media,public,1,https://suspilne.media/rss/all.rss|https://suspilne.media/rss/,
Ukraine,Ukrainska Pravda,uk,pravda.com.ua,reference,1,https://www.pravda.com.ua/rss/view_news/,
